table_name|column_name|data_type|character_maximum_length|is_nullable|column_default
cl_apply_order|id|bigint||NO|nextval('cl_apply_order_id_seq'::regclass)
cl_apply_order|apply_no|character varying|50|NO|
cl_apply_order|applicant_id|bigint||NO|
cl_apply_order|applicant_name|character varying|50|YES|
cl_apply_order|applicant_unit_id|bigint||NO|
cl_apply_order|applicant_phone|character varying|20|YES|
cl_apply_order|purpose|character varying|200|NO|
cl_apply_order|destination|character varying|200|NO|
cl_apply_order|start_time|timestamp with time zone||NO|
cl_apply_order|end_time|timestamp with time zone||NO|
cl_apply_order|passenger_count|integer||NO|
cl_apply_order|required_vehicle_type|character varying|20|YES|
cl_apply_order|planned_route|text||YES|
cl_apply_order|planned_mileage|numeric||YES|
cl_apply_order|apply_status|character varying|20|YES|'PENDING'::character varying
cl_apply_order|auto_approve|boolean||YES|false
cl_apply_order|reject_reason|text||YES|
cl_apply_order|dispatch_order_id|bigint||YES|
cl_apply_order|process_instance_id|character varying|50|YES|
cl_apply_order|create_by|bigint||YES|
cl_apply_order|create_time|timestamp with time zone||YES|CURRENT_TIMESTAMP
cl_apply_order|update_by|bigint||YES|
cl_apply_order|update_time|timestamp with time zone||YES|CURRENT_TIMESTAMP
cl_apply_order|is_deleted|boolean||YES|false
cl_cost_detail|id|bigint||NO|nextval('cl_cost_detail_id_seq'::regclass)
cl_cost_detail|vehicle_id|bigint||NO|
cl_cost_detail|cost_type|character varying|30|NO|
cl_cost_detail|cost_amount|numeric||NO|
cl_cost_detail|cost_time|timestamp with time zone||NO|
cl_cost_detail|cost_desc|text||YES|
cl_cost_detail|biz_order_no|character varying|50|YES|
cl_cost_detail|biz_type|character varying|30|YES|
cl_cost_detail|approval_status|character varying|20|YES|'PENDING'::character varying
cl_cost_detail|process_instance_id|character varying|50|YES|
cl_cost_detail|attachment_urls|text||YES|
cl_cost_detail|create_by|bigint||YES|
cl_cost_detail|create_time|timestamp with time zone||YES|CURRENT_TIMESTAMP
cl_cost_detail|update_by|bigint||YES|
cl_cost_detail|update_time|timestamp with time zone||YES|CURRENT_TIMESTAMP
cl_cost_detail|is_deleted|boolean||YES|false
cl_dispatch_order|id|bigint||NO|nextval('cl_dispatch_order_id_seq'::regclass)
cl_dispatch_order|dispatch_no|character varying|50|NO|
cl_dispatch_order|apply_id|bigint||NO|
cl_dispatch_order|vehicle_id|bigint||NO|
